No;Kode Wilayah;Provinsi;Komoditas;Tahun;Bulan;Koefisien Variasi
1;32;Jawa Barat;Beras Medium;2021;Januari;6,42%
2;32;Jawa Barat;Beras Medium;2021;Februari;5,24%
3;32;Jawa Barat;Beras Medium;2021;Maret;5,85%
4;32;Jawa Barat;Beras Medium;2021;April;5,77%
5;32;Jawa Barat;Beras Medium;2021;Mei;5,87%
6;32;Jawa Barat;Beras Medium;2021;Juni;5,84%
7;32;Jawa Barat;Beras Medium;2021;Juli;5,44%
8;32;Jawa Barat;Beras Medium;2021;Agustus;5,64%
9;32;Jawa Barat;Beras Medium;2021;September;5,58%
10;32;Jawa Barat;Beras Medium;2021;Oktober;5,23%
11;32;Jawa Barat;Beras Medium;2021;November;5,14%
12;32;Jawa Barat;Beras Medium;2021;Desember;4,94%
13;32;Jawa Barat;Beras Medium;2022;Januari;4,42%
14;32;Jawa Barat;Beras Medium;2022;Februari;4,21%
15;32;Jawa Barat;Beras Medium;2022;Maret;4,47%
16;32;Jawa Barat;Beras Medium;2022;April;4,63%
17;32;Jawa Barat;Beras Medium;2022;Mei;4,40%
18;32;Jawa Barat;Beras Medium;2022;Juni;4,59%
19;32;Jawa Barat;Beras Medium;2022;Juli;6,18%
20;32;Jawa Barat;Beras Medium;2022;Agustus;5,85%
21;32;Jawa Barat;Beras Medium;2022;September;5,44%
22;32;Jawa Barat;Beras Medium;2022;Oktober;5,21%
23;32;Jawa Barat;Beras Medium;2022;November;6,13%
24;32;Jawa Barat;Beras Medium;2022;Desember;5,38%
25;32;Jawa Barat;Beras Medium;2023;Januari;6,24%
26;32;Jawa Barat;Beras Medium;2023;Februari;6,40%
27;32;Jawa Barat;Beras Medium;2023;Maret;5,65%
28;32;Jawa Barat;Beras Medium;2023;April;5,78%
29;32;Jawa Barat;Beras Medium;2023;Mei;5,30%
30;32;Jawa Barat;Beras Medium;2023;Juni;5,67%
31;32;Jawa Barat;Beras Medium;2023;Juli;5,83%
32;32;Jawa Barat;Beras Medium;2023;Agustus;6,04%
33;32;Jawa Barat;Beras Medium;2023;September;4,97%
34;32;Jawa Barat;Beras Medium;2023;Oktober;5,02%
35;32;Jawa Barat;Beras Medium;2023;November;5,66%
36;32;Jawa Barat;Beras Medium;2023;Desember;5,33%
37;32;Jawa Barat;Beras Medium;2024;Januari;6,60%
38;32;Jawa Barat;Beras Medium;2024;Februari;7,74%
39;32;Jawa Barat;Beras Medium;2024;Maret;7,41%
40;32;Jawa Barat;Beras Medium;2024;April;9,06%
41;32;Jawa Barat;Beras Medium;2024;Mei;7,70%
42;32;Jawa Barat;Beras Medium;2024;Juni;6,51%
43;32;Jawa Barat;Beras Medium;2024;Juli;5,90%
44;32;Jawa Barat;Beras Medium;2024;Agustus;6,03%
45;32;Jawa Barat;Beras Medium;2024;September;5,86%
46;32;Jawa Barat;Beras Medium;2024;Oktober;5,59%
47;32;Jawa Barat;Beras Medium;2024;November;5,46%
48;32;Jawa Barat;Beras Medium;2024;Desember;4,22%
