No;Kode Wilayah;Provinsi;Komoditas;Tahun;Bulan;Koefisien Variasi
1;32;Jawa Barat;Beras Medium;2021;Januari;6,42%
2;32;Jawa Barat;Beras Medium;2021;Februari;5,24%
3;32;Jawa Barat;Beras Medium;2021;Maret;5,85%
4;32;Jawa Barat;Beras Medium;2021;April;5,77%
5;32;Jawa Barat;Beras Medium;2021;Mei;5,87%
6;32;Jawa Barat;Beras Medium;2021;Juni;5,84%
7;32;Jawa Barat;Beras Medium;2021;Juli;5,44%
8;32;Jawa Barat;Beras Medium;2021;Agustus;5,64%
9;32;Jawa Barat;Beras Medium;2021;September;5,58%
10;32;Jawa Barat;Beras Medium;2021;Oktober;5,23%
11;32;Jawa Barat;Beras Medium;2021;November;5,14%
12;32;Jawa Barat;Beras Medium;2021;Desember;4,94%
13;32;Jawa Barat;Beras Medium;2022;Januari;4,42%
14;32;Jawa Barat;Beras Medium;2022;Februari;4,21%
15;32;Jawa Barat;Beras Medium;2022;Maret;4,47%
16;32;Jawa Barat;Beras Medium;2022;April;4,63%
17;32;Jawa Barat;Beras Medium;2022;Mei;4,40%
18;32;Jawa Barat;Beras Medium;2022;Juni;4,59%
19;32;Jawa Barat;Beras Medium;2022;Juli;6,18%
20;32;Jawa Barat;Beras Medium;2022;Agustus;5,85%
21;32;Jawa Barat;Beras Medium;2022;September;5,44%
22;32;Jawa Barat;Beras Medium;2022;Oktober;5,21%
23;32;Jawa Barat;Beras Medium;2022;November;6,13%
24;32;Jawa Barat;Beras Medium;2022;Desember;5,38%
25;32;Jawa Barat;Beras Medium;2023;Januari;6,24%
26;32;Jawa Barat;Beras Medium;2023;Februari;6,40%
27;32;Jawa Barat;Beras Medium;2023;Maret;5,65%
28;32;Jawa Barat;Beras Medium;2023;April;5,78%
29;32;Jawa Barat;Beras Medium;2023;Mei;5,30%
30;32;Jawa Barat;Beras Medium;2023;Juni;5,67%
31;32;Jawa Barat;Beras Medium;2023;Juli;5,83%
32;32;Jawa Barat;Beras Medium;2023;Agustus;6,04%
33;32;Jawa Barat;Beras Medium;2023;September;4,97%
34;32;Jawa Barat;Beras Medium;2023;Oktober;5,02%
35;32;Jawa Barat;Beras Medium;2023;November;5,66%
36;32;Jawa Barat;Beras Medium;2023;Desember;5,33%
37;32;Jawa Barat;Beras Medium;2024;Januari;6,60%
38;32;Jawa Barat;Beras Medium;2024;Februari;7,74%
39;32;Jawa Barat;Beras Medium;2024;Maret;7,41%
40;32;Jawa Barat;Beras Medium;2024;April;9,06%
41;32;Jawa Barat;Beras Medium;2024;Mei;7,70%
42;32;Jawa Barat;Beras Medium;2024;Juni;6,51%
43;32;Jawa Barat;Beras Medium;2024;Juli;5,90%
44;32;Jawa Barat;Beras Medium;2024;Agustus;6,03%
45;32;Jawa Barat;Beras Medium;2024;September;5,86%
46;32;Jawa Barat;Beras Medium;2024;Oktober;5,59%
47;32;Jawa Barat;Beras Medium;2024;November;5,46%
48;32;Jawa Barat;Beras Medium;2024;Desember;4,22%
49;32;Jawa Barat;Telur Ayam ;2021;Januari;6,49%
50;32;Jawa Barat;Telur Ayam ;2021;Februari;6,26%
51;32;Jawa Barat;Telur Ayam ;2021;Maret;5,00%
52;32;Jawa Barat;Telur Ayam ;2021;April;5,50%
53;32;Jawa Barat;Telur Ayam ;2021;Mei;4,66%
54;32;Jawa Barat;Telur Ayam ;2021;Juni;5,48%
55;32;Jawa Barat;Telur Ayam ;2021;Juli;4,52%
56;32;Jawa Barat;Telur Ayam ;2021;Agustus;5,10%
57;32;Jawa Barat;Telur Ayam ;2021;September;6,90%
58;32;Jawa Barat;Telur Ayam ;2021;Oktober;5,12%
59;32;Jawa Barat;Telur Ayam ;2021;November;9,03%
60;32;Jawa Barat;Telur Ayam ;2021;Desember;13,34%
61;32;Jawa Barat;Telur Ayam ;2022;Januari;11,62%
62;32;Jawa Barat;Telur Ayam ;2022;Februari;6,82%
63;32;Jawa Barat;Telur Ayam ;2022;Maret;5,67%
64;32;Jawa Barat;Telur Ayam ;2022;April;4,76%
65;32;Jawa Barat;Telur Ayam ;2022;Mei;3,72%
66;32;Jawa Barat;Telur Ayam ;2022;Juni;6,27%
67;32;Jawa Barat;Telur Ayam ;2022;Juli;4,75%
68;32;Jawa Barat;Telur Ayam ;2022;Agustus;6,54%
69;32;Jawa Barat;Telur Ayam ;2022;September;6,52%
70;32;Jawa Barat;Telur Ayam ;2022;Oktober;5,27%
71;32;Jawa Barat;Telur Ayam ;2022;November;6,06%
72;32;Jawa Barat;Telur Ayam ;2022;Desember;4,73%
73;32;Jawa Barat;Telur Ayam ;2023;Januari;2,87%
74;32;Jawa Barat;Telur Ayam ;2023;Februari;3,44%
75;32;Jawa Barat;Telur Ayam ;2023;Maret;5,17%
76;32;Jawa Barat;Telur Ayam ;2023;April;4,17%
77;32;Jawa Barat;Telur Ayam ;2023;Mei;4,45%
78;32;Jawa Barat;Telur Ayam ;2023;Juni;2,79%
79;32;Jawa Barat;Telur Ayam ;2023;Juli;2,15%
80;32;Jawa Barat;Telur Ayam ;2023;Agustus;5,86%
81;32;Jawa Barat;Telur Ayam ;2023;September;4,23%
82;32;Jawa Barat;Telur Ayam ;2023;Oktober;2,92%
83;32;Jawa Barat;Telur Ayam ;2023;November;3,21%
84;32;Jawa Barat;Telur Ayam ;2023;Desember;3,81%
85;32;Jawa Barat;Telur Ayam;2024;Januari;3,76%
86;32;Jawa Barat;Telur Ayam;2024;Februari;5,09%
87;32;Jawa Barat;Telur Ayam;2024;Maret;4,23%
88;32;Jawa Barat;Telur Ayam;2024;April;4,14%
89;32;Jawa Barat;Telur Ayam;2024;Mei;4,14%
90;32;Jawa Barat;Telur Ayam;2024;Juni;4,69%
91;32;Jawa Barat;Telur Ayam;2024;Juli;3,23%
92;32;Jawa Barat;Telur Ayam;2024;Agustus;3,72%
93;32;Jawa Barat;Telur Ayam;2024;September;3,46%
94;32;Jawa Barat;Telur Ayam;2024;Oktober;3,25%
95;32;Jawa Barat;Telur Ayam;2024;November;3,65%
96;32;Jawa Barat;Telur Ayam;2024;Desember;7,31%
97;32;Jawa Barat;Minyak Goreng Kemasan;2021;Januari;4,56%
98;32;Jawa Barat;Minyak Goreng Kemasan;2021;Februari;4,66%
99;32;Jawa Barat;Minyak Goreng Kemasan;2021;Maret;5,27%
100;32;Jawa Barat;Minyak Goreng Kemasan;2021;April;6,30%
101;32;Jawa Barat;Minyak Goreng Kemasan;2021;Mei;5,33%
102;32;Jawa Barat;Minyak Goreng Kemasan;2021;Juni;5,39%
103;32;Jawa Barat;Minyak Goreng Kemasan;2021;Juli;5,11%
104;32;Jawa Barat;Minyak Goreng Kemasan;2021;Agustus;6,01%
105;32;Jawa Barat;Minyak Goreng Kemasan;2021;September;6,51%
106;32;Jawa Barat;Minyak Goreng Kemasan;2021;Oktober;7,47%
107;32;Jawa Barat;Minyak Goreng Kemasan;2021;November;9,12%
108;32;Jawa Barat;Minyak Goreng Kemasan;2021;Desember;6,60%
109;32;Jawa Barat;Minyak Goreng Kemasan;2022;Januari;7,97%
110;32;Jawa Barat;Minyak Goreng Kemasan;2022;Februari;10,86%
111;32;Jawa Barat;Minyak Goreng Kemasan;2022;Maret;16,67%
112;32;Jawa Barat;Minyak Goreng Kemasan;2022;April;9,84%
113;32;Jawa Barat;Minyak Goreng Kemasan;2022;Mei;5,69%
114;32;Jawa Barat;Minyak Goreng Kemasan;2022;Juni;8,91%
115;32;Jawa Barat;Minyak Goreng Kemasan;2022;Juli;10,86%
116;32;Jawa Barat;Minyak Goreng Kemasan;2022;Agustus;15,28%
117;32;Jawa Barat;Minyak Goreng Kemasan;2022;September;16,32%
118;32;Jawa Barat;Minyak Goreng Kemasan;2022;Oktober;16,87%
119;32;Jawa Barat;Minyak Goreng Kemasan;2022;November;16,15%
120;32;Jawa Barat;Minyak Goreng Kemasan;2022;Desember;15,21%
121;32;Jawa Barat;Minyak Goreng Kemasan;2023;Januari;13,70%
122;32;Jawa Barat;Minyak Goreng Kemasan;2023;Februari;12,70%
123;32;Jawa Barat;Minyak Goreng Kemasan;2023;Maret;13,23%
124;32;Jawa Barat;Minyak Goreng Kemasan;2023;April;12,87%
